"Trial_ID","Background_Environment","Target_Temp","Strike_Latency_sec"
264,"38C_Sunbaked_Rock","40C_Bird",5.52
173,"38C_Sunbaked_Rock","37C_Mouse",4.99
94,"20C_Cool_Soil","25C_Ambient",5.35
34,"20C_Cool_Soil","25C_Ambient",6.11
265,"38C_Sunbaked_Rock","25C_Ambient",2.77
176,"38C_Sunbaked_Rock","37C_Mouse",7.07
167,"38C_Sunbaked_Rock","37C_Mouse",2.83
166,"38C_Sunbaked_Rock","25C_Ambient",6.98
169,"38C_Sunbaked_Rock","25C_Ambient",3.03
211,"38C_Sunbaked_Rock","25C_Ambient",5.36
284,"38C_Sunbaked_Rock","37C_Mouse",4.9
6,"20C_Cool_Soil","40C_Bird",0.87
237,"38C_Sunbaked_Rock","40C_Bird",4.44
129,"20C_Cool_Soil","40C_Bird",1.27
67,"20C_Cool_Soil","25C_Ambient",4.55
135,"20C_Cool_Soil","40C_Bird",1.35
268,"38C_Sunbaked_Rock","25C_Ambient",8.51
116,"20C_Cool_Soil","37C_Mouse",1.73
153,"38C_Sunbaked_Rock","40C_Bird",2.91
27,"20C_Cool_Soil","40C_Bird",1.35
155,"38C_Sunbaked_Rock","37C_Mouse",6.61
8,"20C_Cool_Soil","37C_Mouse",1.5
14,"20C_Cool_Soil","37C_Mouse",1.97
193,"38C_Sunbaked_Rock","25C_Ambient",5.45
93,"20C_Cool_Soil","40C_Bird",1.61
130,"20C_Cool_Soil","25C_Ambient",3.24
216,"38C_Sunbaked_Rock","40C_Bird",8.02
126,"20C_Cool_Soil","40C_Bird",1.81
163,"38C_Sunbaked_Rock","25C_Ambient",2.99
86,"20C_Cool_Soil","37C_Mouse",2.02
109,"20C_Cool_Soil","25C_Ambient",4.24
91,"20C_Cool_Soil","25C_Ambient",7.35
158,"38C_Sunbaked_Rock","37C_Mouse",4.24
31,"20C_Cool_Soil","25C_Ambient",5.04
239,"38C_Sunbaked_Rock","37C_Mouse",6.67
221,"38C_Sunbaked_Rock","37C_Mouse",7.71
120,"20C_Cool_Soil","40C_Bird",1.65
280,"38C_Sunbaked_Rock","25C_Ambient",6
141,"20C_Cool_Soil","40C_Bird",0.75
242,"38C_Sunbaked_Rock","37C_Mouse",5.62
132,"20C_Cool_Soil","40C_Bird",0.91
227,"38C_Sunbaked_Rock","37C_Mouse",3.28
232,"38C_Sunbaked_Rock","25C_Ambient",3.85
64,"20C_Cool_Soil","25C_Ambient",2.78
177,"38C_Sunbaked_Rock","40C_Bird",7.13
23,"20C_Cool_Soil","37C_Mouse",1.76
230,"38C_Sunbaked_Rock","37C_Mouse",5.01
183,"38C_Sunbaked_Rock","40C_Bird",5.56
161,"38C_Sunbaked_Rock","37C_Mouse",6.28
225,"38C_Sunbaked_Rock","40C_Bird",2.81
291,"38C_Sunbaked_Rock","40C_Bird",5.59
66,"20C_Cool_Soil","40C_Bird",1.14
257,"38C_Sunbaked_Rock","37C_Mouse",6.31
289,"38C_Sunbaked_Rock","25C_Ambient",3.33
49,"20C_Cool_Soil","25C_Ambient",2.25
101,"20C_Cool_Soil","37C_Mouse",1.11
84,"20C_Cool_Soil","40C_Bird",1.22
102,"20C_Cool_Soil","40C_Bird",0.95
189,"38C_Sunbaked_Rock","40C_Bird",5.75
119,"20C_Cool_Soil","37C_Mouse",2.6
299,"38C_Sunbaked_Rock","37C_Mouse",5.33
18,"20C_Cool_Soil","40C_Bird",1.58
292,"38C_Sunbaked_Rock","25C_Ambient",7.86
172,"38C_Sunbaked_Rock","25C_Ambient",3.52
115,"20C_Cool_Soil","25C_Ambient",5.73
220,"38C_Sunbaked_Rock","25C_Ambient",8.16
192,"38C_Sunbaked_Rock","40C_Bird",6.4
47,"20C_Cool_Soil","37C_Mouse",2.42
186,"38C_Sunbaked_Rock","40C_Bird",4.56
152,"38C_Sunbaked_Rock","37C_Mouse",7.55
263,"38C_Sunbaked_Rock","37C_Mouse",8.51
231,"38C_Sunbaked_Rock","40C_Bird",5.64
42,"20C_Cool_Soil","40C_Bird",1.13
296,"38C_Sunbaked_Rock","37C_Mouse",2.01
4,"20C_Cool_Soil","25C_Ambient",4.74
181,"38C_Sunbaked_Rock","25C_Ambient",5.71
38,"20C_Cool_Soil","37C_Mouse",0.86
140,"20C_Cool_Soil","37C_Mouse",1.73
44,"20C_Cool_Soil","37C_Mouse",1.38
61,"20C_Cool_Soil","25C_Ambient",4.07
212,"38C_Sunbaked_Rock","37C_Mouse",7.12
118,"20C_Cool_Soil","25C_Ambient",7.63
244,"38C_Sunbaked_Rock","25C_Ambient",6.48
100,"20C_Cool_Soil","25C_Ambient",3.97
81,"20C_Cool_Soil","40C_Bird",1.49
150,"20C_Cool_Soil","40C_Bird",1.84
5,"20C_Cool_Soil","37C_Mouse",0.93
168,"38C_Sunbaked_Rock","40C_Bird",8.34
53,"20C_Cool_Soil","37C_Mouse",1.58
85,"20C_Cool_Soil","25C_Ambient",3.8
90,"20C_Cool_Soil","40C_Bird",1.69
57,"20C_Cool_Soil","40C_Bird",1.29
219,"38C_Sunbaked_Rock","40C_Bird",3.54
127,"20C_Cool_Soil","25C_Ambient",3.65
233,"38C_Sunbaked_Rock","37C_Mouse",3.35
171,"38C_Sunbaked_Rock","40C_Bird",5.42
164,"38C_Sunbaked_Rock","37C_Mouse",5.34
79,"20C_Cool_Soil","25C_Ambient",4.02
137,"20C_Cool_Soil","37C_Mouse",1.19
96,"20C_Cool_Soil","40C_Bird",0.77
16,"20C_Cool_Soil","25C_Ambient",5.57
76,"20C_Cool_Soil","25C_Ambient",6.86
207,"38C_Sunbaked_Rock","40C_Bird",5.66
74,"20C_Cool_Soil","37C_Mouse",2.06
276,"38C_Sunbaked_Rock","40C_Bird",3.75
22,"20C_Cool_Soil","25C_Ambient",3.58
228,"38C_Sunbaked_Rock","40C_Bird",4.79
56,"20C_Cool_Soil","37C_Mouse",2.45
103,"20C_Cool_Soil","25C_Ambient",3.73
104,"20C_Cool_Soil","37C_Mouse",1.17
180,"38C_Sunbaked_Rock","40C_Bird",7.16
245,"38C_Sunbaked_Rock","37C_Mouse",6.18
287,"38C_Sunbaked_Rock","37C_Mouse",6.14
28,"20C_Cool_Soil","25C_Ambient",5.16
77,"20C_Cool_Soil","37C_Mouse",1.2
117,"20C_Cool_Soil","40C_Bird",1.49
54,"20C_Cool_Soil","40C_Bird",1.78
37,"20C_Cool_Soil","25C_Ambient",4.58
160,"38C_Sunbaked_Rock","25C_Ambient",8.16
294,"38C_Sunbaked_Rock","40C_Bird",3
11,"20C_Cool_Soil","37C_Mouse",0.93
247,"38C_Sunbaked_Rock","25C_Ambient",3.43
33,"20C_Cool_Soil","40C_Bird",1.84
7,"20C_Cool_Soil","25C_Ambient",4.64
229,"38C_Sunbaked_Rock","25C_Ambient",5.72
40,"20C_Cool_Soil","25C_Ambient",5.29
25,"20C_Cool_Soil","25C_Ambient",3.77
107,"20C_Cool_Soil","37C_Mouse",1.76
199,"38C_Sunbaked_Rock","25C_Ambient",4.76
24,"20C_Cool_Soil","40C_Bird",2.08
184,"38C_Sunbaked_Rock","25C_Ambient",2.4
48,"20C_Cool_Soil","40C_Bird",1.66
36,"20C_Cool_Soil","40C_Bird",1.52
278,"38C_Sunbaked_Rock","37C_Mouse",5.15
122,"20C_Cool_Soil","37C_Mouse",1.8
165,"38C_Sunbaked_Rock","40C_Bird",5.82
159,"38C_Sunbaked_Rock","40C_Bird",6.2
279,"38C_Sunbaked_Rock","40C_Bird",5.84
271,"38C_Sunbaked_Rock","25C_Ambient",4.94
188,"38C_Sunbaked_Rock","37C_Mouse",4.56
281,"38C_Sunbaked_Rock","37C_Mouse",6.62
187,"38C_Sunbaked_Rock","25C_Ambient",9.55
20,"20C_Cool_Soil","37C_Mouse",1.87
65,"20C_Cool_Soil","37C_Mouse",1.81
240,"38C_Sunbaked_Rock","40C_Bird",4.25
270,"38C_Sunbaked_Rock","40C_Bird",2.35
58,"20C_Cool_Soil","25C_Ambient",5.47
13,"20C_Cool_Soil","25C_Ambient",6.57
45,"20C_Cool_Soil","40C_Bird",1.35
274,"38C_Sunbaked_Rock","25C_Ambient",2.02
106,"20C_Cool_Soil","25C_Ambient",4.58
26,"20C_Cool_Soil","37C_Mouse",1.17
78,"20C_Cool_Soil","40C_Bird",1.85
272,"38C_Sunbaked_Rock","37C_Mouse",4.89
128,"20C_Cool_Soil","37C_Mouse",1.32
283,"38C_Sunbaked_Rock","25C_Ambient",6.97
182,"38C_Sunbaked_Rock","37C_Mouse",7.51
273,"38C_Sunbaked_Rock","40C_Bird",6.76
255,"38C_Sunbaked_Rock","40C_Bird",4.03
218,"38C_Sunbaked_Rock","37C_Mouse",6.75
138,"20C_Cool_Soil","40C_Bird",1.75
202,"38C_Sunbaked_Rock","25C_Ambient",2
151,"38C_Sunbaked_Rock","25C_Ambient",5.6
290,"38C_Sunbaked_Rock","37C_Mouse",5.77
71,"20C_Cool_Soil","37C_Mouse",1.92
95,"20C_Cool_Soil","37C_Mouse",1.4
222,"38C_Sunbaked_Rock","40C_Bird",6.91
258,"38C_Sunbaked_Rock","40C_Bird",4.08
50,"20C_Cool_Soil","37C_Mouse",1.62
203,"38C_Sunbaked_Rock","37C_Mouse",7.85
198,"38C_Sunbaked_Rock","40C_Bird",5.48
148,"20C_Cool_Soil","25C_Ambient",3.76
178,"38C_Sunbaked_Rock","25C_Ambient",5.91
254,"38C_Sunbaked_Rock","37C_Mouse",4.17
110,"20C_Cool_Soil","37C_Mouse",1.44
248,"38C_Sunbaked_Rock","37C_Mouse",4.82
142,"20C_Cool_Soil","25C_Ambient",4.88
52,"20C_Cool_Soil","25C_Ambient",6.41
63,"20C_Cool_Soil","40C_Bird",1.24
191,"38C_Sunbaked_Rock","37C_Mouse",2.92
39,"20C_Cool_Soil","40C_Bird",1.96
136,"20C_Cool_Soil","25C_Ambient",6.82
21,"20C_Cool_Soil","40C_Bird",1.23
179,"38C_Sunbaked_Rock","37C_Mouse",4.46
131,"20C_Cool_Soil","37C_Mouse",1.88
89,"20C_Cool_Soil","37C_Mouse",1.73
70,"20C_Cool_Soil","25C_Ambient",5.35
15,"20C_Cool_Soil","40C_Bird",1.18
214,"38C_Sunbaked_Rock","25C_Ambient",4.56
190,"38C_Sunbaked_Rock","25C_Ambient",5.78
238,"38C_Sunbaked_Rock","25C_Ambient",9.54
121,"20C_Cool_Soil","25C_Ambient",5.53
59,"20C_Cool_Soil","37C_Mouse",1.79
156,"38C_Sunbaked_Rock","40C_Bird",6.8
154,"38C_Sunbaked_Rock","25C_Ambient",3.6
293,"38C_Sunbaked_Rock","37C_Mouse",5.9
208,"38C_Sunbaked_Rock","25C_Ambient",4.25
251,"38C_Sunbaked_Rock","37C_Mouse",3.43
3,"20C_Cool_Soil","40C_Bird",1.28
250,"38C_Sunbaked_Rock","25C_Ambient",9.06
241,"38C_Sunbaked_Rock","25C_Ambient",8.58
99,"20C_Cool_Soil","40C_Bird",1.55
226,"38C_Sunbaked_Rock","25C_Ambient",7.2
201,"38C_Sunbaked_Rock","40C_Bird",5.65
149,"20C_Cool_Soil","37C_Mouse",1.62
73,"20C_Cool_Soil","25C_Ambient",5.74
243,"38C_Sunbaked_Rock","40C_Bird",7.17
261,"38C_Sunbaked_Rock","40C_Bird",8.67
43,"20C_Cool_Soil","25C_Ambient",4.73
125,"20C_Cool_Soil","37C_Mouse",3.31
157,"38C_Sunbaked_Rock","25C_Ambient",4.22
170,"38C_Sunbaked_Rock","37C_Mouse",3.16
204,"38C_Sunbaked_Rock","40C_Bird",6.54
285,"38C_Sunbaked_Rock","40C_Bird",4.01
249,"38C_Sunbaked_Rock","40C_Bird",6.74
62,"20C_Cool_Soil","37C_Mouse",2.21
295,"38C_Sunbaked_Rock","25C_Ambient",3.61
12,"20C_Cool_Soil","40C_Bird",0.9
260,"38C_Sunbaked_Rock","37C_Mouse",2.86
133,"20C_Cool_Soil","25C_Ambient",4.46
134,"20C_Cool_Soil","37C_Mouse",2.81
51,"20C_Cool_Soil","40C_Bird",1.97
146,"20C_Cool_Soil","37C_Mouse",1.55
29,"20C_Cool_Soil","37C_Mouse",2.21
98,"20C_Cool_Soil","37C_Mouse",1.56
145,"20C_Cool_Soil","25C_Ambient",5.53
139,"20C_Cool_Soil","25C_Ambient",5.07
72,"20C_Cool_Soil","40C_Bird",1.27
259,"38C_Sunbaked_Rock","25C_Ambient",6.26
234,"38C_Sunbaked_Rock","40C_Bird",5.24
32,"20C_Cool_Soil","37C_Mouse",2.2
123,"20C_Cool_Soil","40C_Bird",1.64
275,"38C_Sunbaked_Rock","37C_Mouse",4.87
82,"20C_Cool_Soil","25C_Ambient",5.29
235,"38C_Sunbaked_Rock","25C_Ambient",7.51
147,"20C_Cool_Soil","40C_Bird",1.58
215,"38C_Sunbaked_Rock","37C_Mouse",6.21
194,"38C_Sunbaked_Rock","37C_Mouse",3.44
282,"38C_Sunbaked_Rock","40C_Bird",3.96
298,"38C_Sunbaked_Rock","25C_Ambient",4.98
35,"20C_Cool_Soil","37C_Mouse",1.48
1,"20C_Cool_Soil","25C_Ambient",4.46
210,"38C_Sunbaked_Rock","40C_Bird",3.93
209,"38C_Sunbaked_Rock","37C_Mouse",8.11
80,"20C_Cool_Soil","37C_Mouse",0.73
262,"38C_Sunbaked_Rock","25C_Ambient",5.99
83,"20C_Cool_Soil","37C_Mouse",2.88
205,"38C_Sunbaked_Rock","25C_Ambient",5.85
269,"38C_Sunbaked_Rock","37C_Mouse",6.46
286,"38C_Sunbaked_Rock","25C_Ambient",7.09
206,"38C_Sunbaked_Rock","37C_Mouse",3.73
30,"20C_Cool_Soil","40C_Bird",1.19
236,"38C_Sunbaked_Rock","37C_Mouse",2.95
