"","start.date","end.date","temp","sex","jar","dev.time.days","dev.rate","weight.g","weight.mg"
"1","2/21/2008","3/5/2008",22,"F",2,13,0.076923077,0.0037,3.7
"2","2/21/2008","3/6/2008",22,"F",2,14,0.071428571,NA,NA
"3","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.0026,2.6
"4","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.002,2
"5","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.0025,2.5
"6","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.0023,2.3
"7","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.0025,2.5
"8","2/21/2008","3/3/2008",22,"M",1,11,0.090909091,0.0022,2.2
"9","2/21/2008","3/3/2008",22,"M",2,11,0.090909091,0.0021,2.1
"10","2/21/2008","3/3/2008",22,"M",2,11,0.090909091,0.0022,2.2
"11","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,0.0026,2.6
"12","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,NA,NA
"13","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,NA,NA
"14","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,NA,NA
"15","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,NA,NA
"16","2/21/2008","3/5/2008",22,"M",1,13,0.076923077,NA,NA
"17","2/21/2008","3/5/2008",22,"M",2,13,0.076923077,0.0024,2.4
"18","2/21/2008","3/6/2008",22,"M",1,14,0.071428571,NA,NA
"19","2/21/2008","3/6/2008",22,"M",1,14,0.071428571,NA,NA
"20","2/21/2008","3/6/2008",22,"M",1,14,0.071428571,NA,NA
"21","2/21/2008","3/6/2008",22,"M",2,14,0.071428571,NA,NA
"22","11/24/2008","12/10/2008",20,"F",1,16,0.0625,0.0043,4.3
"23","11/24/2008","12/10/2008",20,"F",1,16,0.0625,0.0044,4.4
"24","11/24/2008","12/10/2008",20,"F",1,16,0.0625,0.0038,3.8
"25","11/24/2008","12/10/2008",20,"F",1,16,0.0625,0.0034,3.4
"26","11/24/2008","12/10/2008",20,"M",1,16,0.0625,0.0022,2.2
"27","11/24/2008","12/10/2008",20,"F",1,16,0.0625,NA,NA
"28","11/24/2008","12/10/2008",20,"F",1,16,0.0625,NA,NA
"29","11/24/2008","12/10/2008",20,"F",1,16,0.0625,NA,NA
"30","11/24/2008","12/10/2008",20,"F",2,16,0.0625,NA,NA
"31","11/24/2008","12/10/2008",20,"M",2,16,0.0625,NA,NA
"32","11/24/2008","12/10/2008",20,"M",2,16,0.0625,0.0022,2.2
"33","11/24/2008","12/10/2008",20,"M",2,16,0.0625,0.002,2
"34","11/24/2008","12/10/2008",20,"F",2,16,0.0625,0.0046,4.6
"35","11/24/2008","12/10/2008",20,"F",2,16,0.0625,0.002,2
"36","11/24/2008","12/13/2008",20,"M",1,19,0.052631579,0.0023,2.3
"37","11/24/2008","12/13/2008",20,"F",1,19,0.052631579,0.0043,4.3
"38","11/24/2008","12/13/2008",20,"F",1,19,0.052631579,0.0043,4.3
"39","11/24/2008","12/13/2008",20,"F",1,19,0.052631579,0.0041,4.1
"40","11/24/2008","12/13/2008",20,"F",2,19,0.052631579,0.0049,4.9
"41","11/24/2008","12/13/2008",20,"F",2,19,0.052631579,0.0043,4.3
"42","2/21/2008","3/13/2008",18,"F",1,21,0.047619048,0.0042,4.2
"43","2/21/2008","3/13/2008",18,"F",1,21,0.047619048,0.0044,4.4
"44","2/21/2008","3/13/2008",18,"F",1,21,0.047619048,0.0045,4.5
"45","2/21/2008","3/13/2008",18,"F",1,21,0.047619048,NA,NA
"46","2/21/2008","3/13/2008",18,"F",2,21,0.047619048,0.0032,3.2
"47","2/21/2008","3/10/2008",18,"M",1,18,0.055555556,0.0029,2.9
"48","2/21/2008","3/10/2008",18,"M",1,18,0.055555556,0.0024,2.4
"49","2/21/2008","3/10/2008",18,"M",1,18,0.055555556,0.0021,2.1
"50","2/21/2008","3/10/2008",18,"M",2,18,0.055555556,0.002,2
"51","2/21/2008","3/13/2008",18,"M",2,21,0.047619048,0.0022,2.2
"52","7/16/2008","8/4/2008",16,"F",1,19,0.052631579,0.0048,4.8
"53","7/16/2008","8/4/2008",16,"F",1,19,0.052631579,0.0045,4.5
"54","7/16/2008","8/7/2008",16,"F",1,22,0.045454545,0.0048,4.8
"55","7/16/2008","8/7/2008",16,"F",1,22,0.045454545,0.0052,5.2
"56","7/16/2008","8/7/2008",16,"F",1,22,0.045454545,0.0056,5.6
"57","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0051,5.1
"58","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0049,4.9
"59","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0052,5.2
"60","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0045,4.5
"61","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0049,4.9
"62","7/16/2008","8/7/2008",16,"F",2,22,0.045454545,0.0043,4.3
"63","7/16/2008","8/11/2008",16,"F",1,26,0.038461538,0.0055,5.5
"64","7/16/2008","8/11/2008",16,"F",1,26,0.038461538,0.0048,4.8
"65","7/16/2008","8/11/2008",16,"F",1,26,0.038461538,0.005,5
"66","7/16/2008","8/11/2008",16,"F",1,26,0.038461538,0.0049,4.9
"67","7/16/2008","8/11/2008",16,"F",2,26,0.038461538,0.0052,5.2
"68","7/16/2008","8/11/2008",16,"F",2,26,0.038461538,0.0052,5.2
"69","7/16/2008","8/11/2008",16,"F",2,26,0.038461538,0.0053,5.3
"70","7/16/2008","8/11/2008",16,"F",2,26,0.038461538,0.0057,5.7
"71","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0028,2.8
"72","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0026,2.6
"73","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0024,2.4
"74","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0022,2.2
"75","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0022,2.2
"76","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0023,2.3
"77","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0025,2.5
"78","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0023,2.3
"79","7/16/2008","8/4/2008",16,"M",2,19,0.052631579,0.0025,2.5
"80","7/16/2008","8/4/2008",16,"M",2,19,0.052631579,0.0029,2.9
"81","7/16/2008","8/4/2008",16,"M",2,19,0.052631579,0.0025,2.5
"82","7/16/2008","8/7/2008",16,"M",1,22,0.045454545,0.0026,2.6
"83","7/16/2008","8/7/2008",16,"M",1,22,0.045454545,0.0021,2.1
"84","7/16/2008","8/7/2008",16,"M",2,22,0.045454545,0.0023,2.3
"85","7/16/2008","8/7/2008",16,"M",2,22,0.045454545,0.0025,2.5
"86","7/16/2008","8/7/2008",16,"M",2,22,0.045454545,0.0026,2.6
"87","7/16/2008","8/7/2008",16,"M",2,22,0.045454545,0.0024,2.4
"88","7/16/2008","8/7/2008",16,"M",2,22,0.045454545,0.0026,2.6
"89","7/16/2008","8/11/2008",16,"M",2,26,0.038461538,0.0026,2.6
"90","7/16/2008","8/4/2008",16,"M",1,19,0.052631579,0.0025,2.5
"91","7/16/2008","8/7/2008",14,"M",1,22,0.045454545,0.0026,2.6
"92","7/16/2008","8/7/2008",14,"M",2,22,0.045454545,0.0026,2.6
"93","7/16/2008","8/7/2008",14,"M",2,22,0.045454545,0.0024,2.4
"94","7/16/2008","8/7/2008",14,"M",2,22,0.045454545,0.0025,2.5
"95","7/16/2008","8/7/2008",14,"M",2,22,0.045454545,0.0031,3.1
"96","7/16/2008","8/11/2008",14,"M",2,26,0.038461538,0.0023,2.3
"97","7/16/2008","8/11/2008",14,"M",2,26,0.038461538,0.0023,2.3
"98","7/16/2008","8/11/2008",14,"M",2,26,0.038461538,0.0025,2.5
"99","7/16/2008","8/11/2008",14,"F",2,26,0.038461538,0.0053,5.3
"100","7/16/2008","8/14/2008",14,"M",2,29,0.034482759,0.0024,2.4
"101","7/16/2008","8/14/2008",14,"M",2,29,0.034482759,0.0023,2.3
"102","7/16/2008","8/18/2008",14,"F",2,33,0.03030303,0.0056,5.6
"103","7/16/2008","8/18/2008",14,"F",2,33,0.03030303,0.0049,4.9
"104","7/16/2008","8/18/2008",14,"F",2,33,0.03030303,0.0051,5.1
"105","7/16/2008","8/18/2008",14,"M",2,33,0.03030303,0.0017,1.7
"106","8/6/2008","9/4/2008",12,"F",1,29,0.034482759,0.0052,5.2
"107","8/6/2008","9/9/2008",12,"F",1,34,0.029411765,0.0055,5.5
"108","8/6/2008","9/9/2008",12,"F",1,34,0.029411765,0.0059,5.9
"109","8/6/2008","9/9/2008",12,"F",1,34,0.029411765,0.0058,5.8
"110","8/6/2008","9/9/2008",12,"F",1,34,0.029411765,0.005,5
